sale_date,car_model,sales_amount,dealer,color,engine_capacity,model_year,horsepower,type
2021-07-11,Honda Accord,44893,Dealer B,Silver,3.5L,2024,248,Standard Sedan
2023-07-04,Chevrolet Malibu,27197,Dealer B,Red,2.5L,2025,248,Sports
2025-01-04,Toyota Corolla,18652,Dealer B,Blue,3.5L,2021,256,Standard Sedan
2023-08-01,BMW 3 Series,47597,Dealer B,Green,3.0L,2025,350,Standard Sedan
2021-08-26,Ford Mustang,27818,Dealer B,Black,3.0L,2021,239,Sports
2021-10-09,Toyota Camry,23859,Dealer B,White,3.5L,2024,206,Sports
2021-05-15,BMW 3 Series,58567,Dealer B,Gray,2.0L,2021,379,Intermediate Sedan
2021-04-02,Ford Focus,41778,Dealer B,Red,2.5L,2023,284,Intermediate Sedan
2022-06-11,Audi A4,40601,Dealer B,Silver,2.5L,2024,205,SUV
2024-04-22,Chevrolet Impala,36710,Dealer B,Red,3.0L,2021,235,Premium
2022-09-15,Ford Focus,48839,Dealer B,Blue,3.5L,2021,201,Premium
2024-02-04,Toyota Camry,27752,Dealer B,Red,3.5L,2023,201,Premium
2021-03-16,Toyota Corolla,27532,Dealer B,Black,3.5L,2021,324,Standard Sedan
2020-04-25,BMW 3 Series,41376,Dealer B,Gray,3.5L,2023,155,SUV
2024-07-03,Ford Mustang,22559,Dealer B,Blue,3.5L,2024,216,SUV
2024-05-11,Ford Focus,39562,Dealer B,Red,2.5L,2022,252,Intermediate Sedan
2020-01-15,Honda Civic,30246,Dealer B,Red,3.0L,2020,391,Intermediate Sedan
2020-05-01,Audi A4,17845,Dealer B,Silver,2.5L,2024,228,Standard Sedan
2021-06-20,Ford Focus,29025,Dealer B,Black,2.5L,2025,290,Sports
2024-12-04,Audi A6,15627,Dealer B,Gray,2.0L,2023,374,Intermediate Sedan
2024-11-22,Chevrolet Malibu,33803,Dealer B,Blue,3.0L,2023,325,Intermediate Sedan
2024-09-19,BMW 5 Series,50547,Dealer B,Red,3.5L,2024,163,Standard Sedan
2023-10-05,Toyota Camry,19271,Dealer B,Blue,2.5L,2022,290,SUV
2020-01-03,Honda Accord,19314,Dealer B,Red,3.0L,2022,196,Premium
2023-05-27,Chevrolet Malibu,43844,Dealer B,White,3.5L,2025,263,Sports
2020-01-16,Chevrolet Malibu,47680,Dealer B,White,2.5L,2024,362,Sports
2022-11-16,Chevrolet Impala,41050,Dealer B,Silver,2.5L,2024,383,Intermediate Sedan
2022-11-03,Ford Mustang,33471,Dealer B,Blue,3.0L,2021,247,SUV
2022-08-08,Toyota Corolla,17776,Dealer B,Gray,3.5L,2024,219,Premium
2023-07-24,Honda Civic,30914,Dealer B,Silver,3.5L,2023,187,Standard Sedan
2020-06-29,Audi A6,43716,Dealer B,Green,3.5L,2022,301,Standard Sedan
2025-02-11,Chevrolet Malibu,30911,Dealer B,Gray,3.0L,2024,219,Sports
2020-09-18,Honda Civic,17521,Dealer B,Black,2.5L,2023,302,SUV
2024-11-19,Audi A6,32735,Dealer B,Green,2.5L,2024,248,Intermediate Sedan
2021-06-03,Toyota Corolla,32008,Dealer B,Red,3.0L,2020,346,Standard Sedan
2024-07-23,Audi A4,56737,Dealer B,Silver,2.5L,2025,342,Premium
2024-05-08,Toyota Camry,29316,Dealer B,Silver,2.5L,2021,394,Premium
2023-03-23,Audi A4,52201,Dealer B,Gray,2.0L,2020,239,Sports
2024-08-12,Toyota Corolla,57583,Dealer B,Silver,3.0L,2020,187,Standard Sedan
2020-02-21,Chevrolet Impala,16744,Dealer B,White,2.0L,2020,370,Intermediate Sedan
2024-12-01,Audi A6,32486,Dealer B,White,3.0L,2020,321,SUV
2021-12-21,Ford Mustang,25124,Dealer B,Green,3.0L,2020,373,Standard Sedan
2023-09-21,Toyota Camry,45150,Dealer B,Red,2.5L,2020,309,SUV
2020-10-05,Ford Focus,47092,Dealer B,Silver,2.5L,2020,191,Standard Sedan
2022-02-13,Toyota Camry,34022,Dealer B,Silver,3.5L,2021,371,Premium
